Container is store 100 plants:
0: Tree: age = 44852, name = YWpSSjddfNQLoUe, GetQuotient = 0.13333333333333333
1: Tree: age = 6140, name = sONYDa, GetQuotient = 0.16666666666666666
2: Bush: month = Month.AUGUST, name = nqverlgKV, GetQuotient = 0.1111111111111111
3: Tree: age = 57429, name = KKkFrPgCXo, GetQuotient = 0.1
4: Bush: month = Month.DECEMBER, name = DufB, GetQuotient = 0.25
5: Tree: age = 54683, name = heoAOwchFcVsUyKyjd, GetQuotient = 0.1111111111111111
6: Bush: month = Month.MAY, name = hdUUrVbvCLHABVG, GetQuotient = 0.0
7: Tree: age = 73668, name = ZvLnKFbcHcgMMmqFEM, GetQuotient = 0.0
8: Bush: month = Month.APRIL, name = LDHQtOXiKyjapFFej, GetQuotient = 0.17647058823529413
9: Flower: name = cHTVCDFH, Type = Type.WILD, GetQuotient = 0.0
10: Tree: age = 62448, name = uSmdiEKjEPQvIGIAVNP, GetQuotient = 0.10526315789473684
11: Flower: name = blulpmyLSrrt, Type = Type.WILD, GetQuotient = 0.08333333333333333
12: Tree: age = 85653, name = AsOTPFKXFhNmDcMs, GetQuotient = 0.0
13: Bush: month = Month.AUGUST, name = J, GetQuotient = 0.0
14: Bush: month = Month.JUNE, name = eSl, GetQuotient = 0.3333333333333333
15: Flower: name = hymMcPMHybrJCBviZKbt, Type = Type.GARDEN, GetQuotient = 0.05
16: Bush: month = Month.OCTOBER, name = s, GetQuotient = 0.0
17: Bush: month = Month.SEPTEMBER, name = aDSlhVhQZAEdieZzhwEg, GetQuotient = 0.15
18: Tree: age = 95532, name = EkUyccoQKSLsRxRPq, GetQuotient = 0.058823529411764705
19: Bush: month = Month.NOVEMBER, name = jarSruZRCelpfwW, GetQuotient = 0.2
20: Tree: age = 98547, name = qufJbUYhN, GetQuotient = 0.1111111111111111
21: Bush: month = Month.JUNE, name = fyVWCzMA, GetQuotient = 0.0
22: Flower: name = hgzAVEOacVXoWxRL, Type = Type.HOUSE, GetQuotient = 0.125
23: Bush: month = Month.FEBRUARY, name = gDKwMSPrnjbWuEjBFBIA, GetQuotient = 0.05
24: Tree: age = 56033, name = ZtiVFbPgGFqRI, GetQuotient = 0.07692307692307693
25: Flower: name = VEUsYOPBnSQqqIPY, Type = Type.GARDEN, GetQuotient = 0.0
26: Tree: age = 92929, name = HhHWAWUfvnpTCYZZ, GetQuotient = 0.0
27: Flower: name = sZMEpfsmfzhwzYP, Type = Type.HOUSE, GetQuotient = 0.0
28: Tree: age = 73364, name = On, GetQuotient = 0.0
29: Bush: month = Month.NOVEMBER, name = MnU, GetQuotient = 0.0
30: Flower: name = LpjEyZDeK, Type = Type.GARDEN, GetQuotient = 0.1111111111111111
31: Tree: age = 45859, name = AOqXRjKVR, GetQuotient = 0.0
32: Bush: month = Month.JANUARY, name = ledxLCNGjdhoJyuKnZ, GetQuotient = 0.16666666666666666
33: Bush: month = Month.JUNE, name = e, GetQuotient = 1.0
34: Flower: name = TjFWRT, Type = Type.WILD, GetQuotient = 0.0
35: Flower: name = uEORZhAgX, Type = Type.GARDEN, GetQuotient = 0.1111111111111111
36: Bush: month = Month.JULY, name = efoZrSouBemkCsUVOcT, GetQuotient = 0.2631578947368421
37: Tree: age = 24917, name = eiRCUoTMnhvpQnmIFWf, GetQuotient = 0.15789473684210525
38: Flower: name = DumJBpfodRzvvve, Type = Type.HOUSE, GetQuotient = 0.2
39: Bush: month = Month.OCTOBER, name = ZXpkioQZZZTv, GetQuotient = 0.16666666666666666
40: Tree: age = 72171, name = AMMlQIhfjWapSwnMMwj, GetQuotient = 0.05263157894736842
41: Tree: age = 10838, name = BQtawYCSlyxAN, GetQuotient = 0.07692307692307693
42: Flower: name = rslxzuWV, Type = Type.HOUSE, GetQuotient = 0.125
43: Tree: age = 44877, name = LkYvjVARMROUFMfctw, GetQuotient = 0.0
44: Flower: name = pmdOKCUIbFmn, Type = Type.GARDEN, GetQuotient = 0.0
45: Flower: name = Urjq, Type = Type.WILD, GetQuotient = 0.0
46: Tree: age = 25988, name = negJiaiD, GetQuotient = 0.5
47: Bush: month = Month.SEPTEMBER, name = ysJlEedR, GetQuotient = 0.125
48: Bush: month = Month.OCTOBER, name = TUUFkyMWqAJge, GetQuotient = 0.07692307692307693
49: Tree: age = 20243, name = YJOIPoyHV, GetQuotient = 0.1111111111111111
50: Bush: month = Month.SEPTEMBER, name = MxpmwGDtLg, GetQuotient = 0.0
51: Flower: name = gwUwRjA, Type = Type.GARDEN, GetQuotient = 0.0
52: Bush: month = Month.SEPTEMBER, name = OTFJGRoxKwa, GetQuotient = 0.18181818181818182
53: Bush: month = Month.NOVEMBER, name = n, GetQuotient = 0.0
54: Bush: month = Month.FEBRUARY, name = jSfYeLJXQWXo, GetQuotient = 0.16666666666666666
55: Tree: age = 30452, name = sCdscWp, GetQuotient = 0.0
56: Bush: month = Month.JANUARY, name = RYYMYSHeFrro, GetQuotient = 0.16666666666666666
57: Bush: month = Month.DECEMBER, name = Is, GetQuotient = 0.0
58: Flower: name = rUZmDSopsnYoFnthkf, Type = Type.GARDEN, GetQuotient = 0.1111111111111111
59: Bush: month = Month.FEBRUARY, name = MP, GetQuotient = 0.0
