Container is store 1000 plants:
0: Bush: month = Month.APRIL, name = LWgaPSeBNgjkj, GetQuotient = 0.15384615384615385
1: Bush: month = Month.MAY, name = BGn, GetQuotient = 0.0
2: Bush: month = Month.DECEMBER, name = cekUaXJHyUOYsYJQI, GetQuotient = 0.11764705882352941
3: Flower: name = VzSXMIEPKvVwBMU, Type = Type.HOUSE, GetQuotient = 0.0
4: Bush: month = Month.MARCH, name = mCuXeIgV, GetQuotient = 0.25
5: Flower: name = kmTMYTMYhrqCiHwjCQjb, Type = Type.GARDEN, GetQuotient = 0.05
6: Tree: age = 33445, name = TpGfVAXwKyE, GetQuotient = 0.0
7: Bush: month = Month.SEPTEMBER, name = a, GetQuotient = 1.0
8: Bush: month = Month.MARCH, name = rHXRgTQD, GetQuotient = 0.0
9: Tree: age = 5613, name = XXrnCsjG, GetQuotient = 0.0
10: Flower: name = xCSYizRwKu, Type = Type.WILD, GetQuotient = 0.2
11: Flower: name = NAahZDHubJh, Type = Type.GARDEN, GetQuotient = 0.18181818181818182
12: Bush: month = Month.JANUARY, name = byryUZb, GetQuotient = 0.0
13: Tree: age = 60678, name = ZzXemIS, GetQuotient = 0.14285714285714285
14: Flower: name = GA, Type = Type.GARDEN, GetQuotient = 0.0
15: Bush: month = Month.AUGUST, name = KuDXK, GetQuotient = 0.2
16: Bush: month = Month.MARCH, name = bvnlNdOeAjkQ, GetQuotient = 0.08333333333333333
17: Flower: name = zslLIKuZmptF, Type = Type.WILD, GetQuotient = 0.08333333333333333
18: Bush: month = Month.NOVEMBER, name = lY, GetQuotient = 0.0
19: Flower: name = iuf, Type = Type.WILD, GetQuotient = 0.6666666666666666
20: Tree: age = 72818, name = YMr, GetQuotient = 0.0
21: Tree: age = 23986, name = AvNmakcq, GetQuotient = 0.125
22: Flower: name = TrzAvYIheSNqHZDC, Type = Type.HOUSE, GetQuotient = 0.0625
23: Flower: name = oifzIrKAzDUbNNs, Type = Type.GARDEN, GetQuotient = 0.13333333333333333
24: Tree: age = 16343, name = hIVrJDhUIFhQmMZeiE, GetQuotient = 0.1111111111111111
25: Bush: month = Month.AUGUST, name = vgu, GetQuotient = 0.3333333333333333
26: Flower: name = KTLhUNmczy, Type = Type.WILD, GetQuotient = 0.0
27: Bush: month = Month.SEPTEMBER, name = RTnZoEMbDlE, GetQuotient = 0.09090909090909091
28: Tree: age = 24522, name = vXUqtDMILvkUhLdrdUX, GetQuotient = 0.0
29: Flower: name = RcXwTQZUrMyN, Type = Type.WILD, GetQuotient = 0.0
30: Tree: age = 82305, name = je, GetQuotient = 0.5
31: Tree: age = 70945, name = HcHBOfylJPnYtwpk, GetQuotient = 0.0
32: Bush: month = Month.MAY, name = jYTEIApENWOnSYMd, GetQuotient = 0.0
33: Bush: month = Month.APRIL, name = CupNqTuzMu, GetQuotient = 0.3
34: Flower: name = tsFVbg, Type = Type.GARDEN, GetQuotient = 0.0
35: Flower: name = vSZtWFCKjsPr, Type = Type.GARDEN, GetQuotient = 0.0
36: Tree: age = 46131, name = bBbHMYlGIxlmVF, GetQuotient = 0.0
37: Flower: name = ZIfekMoeDuWeDTh, Type = Type.WILD, GetQuotient = 0.3333333333333333
38: Bush: month = Month.NOVEMBER, name = MbgiPsaiyJvipUfjcOPZ, GetQuotient = 0.2
39: Tree: age = 59806, name = qoTXbcHXXgORrAQd, GetQuotient = 0.0625
40: Bush: month = Month.MARCH, name = TFcZjsMycIztVuWMd, GetQuotient = 0.058823529411764705
41: Bush: month = Month.MAY, name = wemXKMAupPffi, GetQuotient = 0.23076923076923078
