Sorted container:
Container is store 1000 plants:
0: Bush: month = Month.SEPTEMBER, name = a, GetQuotient = 1.0
1: Flower: name = u, Type = Type.GARDEN, GetQuotient = 1.0
2: Tree: age = 13577, name = i, GetQuotient = 1.0
3: Tree: age = 93764, name = i, GetQuotient = 1.0
4: Flower: name = i, Type = Type.WILD, GetQuotient = 1.0
5: Tree: age = 44491, name = i, GetQuotient = 1.0
6: Tree: age = 71679, name = e, GetQuotient = 1.0
7: Bush: month = Month.AUGUST, name = oviu, GetQuotient = 0.75
8: Flower: name = iuf, Type = Type.WILD, GetQuotient = 0.6666666666666666
9: Tree: age = 996, name = Pao, GetQuotient = 0.6666666666666666
10: Bush: month = Month.JULY, name = oeO, GetQuotient = 0.6666666666666666
11: Tree: age = 25538, name = ovfea, GetQuotient = 0.6
12: Tree: age = 82305, name = je, GetQuotient = 0.5
13: Bush: month = Month.JANUARY, name = oT, GetQuotient = 0.5
14: Tree: age = 99961, name = eU, GetQuotient = 0.5
15: Bush: month = Month.JANUARY, name = ve, GetQuotient = 0.5
16: Flower: name = Ko, Type = Type.GARDEN, GetQuotient = 0.5
17: Flower: name = uk, Type = Type.GARDEN, GetQuotient = 0.5
18: Bush: month = Month.MARCH, name = LXaoaZ, GetQuotient = 0.5
19: Flower: name = ya, Type = Type.WILD, GetQuotient = 0.5
20: Bush: month = Month.SEPTEMBER, name = kDue, GetQuotient = 0.5
21: Flower: name = la, Type = Type.WILD, GetQuotient = 0.5
22: Bush: month = Month.JUNE, name = il, GetQuotient = 0.5
23: Flower: name = Te, Type = Type.HOUSE, GetQuotient = 0.5
24: Bush: month = Month.OCTOBER, name = Za, GetQuotient = 0.5
25: Tree: age = 69538, name = Oe, GetQuotient = 0.5
26: Flower: name = uF, Type = Type.HOUSE, GetQuotient = 0.5
27: Tree: age = 58422, name = iWeolngso, GetQuotient = 0.4444444444444444
28: Tree: age = 47710, name = uejbtep, GetQuotient = 0.42857142857142855
29: Tree: age = 33110, name = zuujKGePVAei, GetQuotient = 0.4166666666666667
30: Bush: month = Month.JULY, name = uiNMEsTuehpu, GetQuotient = 0.4166666666666667
31: Flower: name = sMauh, Type = Type.GARDEN, GetQuotient = 0.4
32: Bush: month = Month.JUNE, name = Okuuw, GetQuotient = 0.4
33: Bush: month = Month.AUGUST, name = MGCio, GetQuotient = 0.4
34: Tree: age = 65146, name = IaBur, GetQuotient = 0.4
35: Flower: name = YaYeSsveovYRo, Type = Type.WILD, GetQuotient = 0.38461538461538464
36: Bush: month = Month.FEBRUARY, name = iEfYobik, GetQuotient = 0.375
37: Bush: month = Month.APRIL, name = iYGGobxeste, GetQuotient = 0.36363636363636365
38: Bush: month = Month.AUGUST, name = vgu, GetQuotient = 0.3333333333333333
39: Flower: name = ZIfekMoeDuWeDTh, Type = Type.WILD, GetQuotient = 0.3333333333333333
40: Bush: month = Month.NOVEMBER, name = VvofAApeTueZHhe, GetQuotient = 0.3333333333333333
41: Flower: name = bpo, Type = Type.WILD, GetQuotient = 0.3333333333333333
42: Flower: name = uVV, Type = Type.WILD, GetQuotient = 0.3333333333333333
43: Flower: name = iCC, Type = Type.HOUSE, GetQuotient = 0.3333333333333333
44: Bush: month = Month.MAY, name = oDJ, GetQuotient = 0.3333333333333333
45: Bush: month = Month.DECEMBER, name = soneVPqra, GetQuotient = 0.3333333333333333
46: Flower: name = TqHuhe, Type = Type.WILD, GetQuotient = 0.3333333333333333
