Container is store 10000 plants:
0: Tree: age = 74581, name = XwFnuYs, GetQuotient = 0.14285714285714285
1: Flower: name = gdAbKMtUXobMtLKyR, Type = Type.HOUSE, GetQuotient = 0.058823529411764705
2: Tree: age = 65896, name = IXstSAlzC, GetQuotient = 0.0
3: Flower: name = vLh, Type = Type.HOUSE, GetQuotient = 0.0
4: Flower: name = tTwbLHEkZAbLn, Type = Type.WILD, GetQuotient = 0.0
5: Tree: age = 89463, name = TwmLpQBCWToHBoNUVdFN, GetQuotient = 0.1
6: Bush: month = Month.NOVEMBER, name = nHcVYVohEAG, GetQuotient = 0.09090909090909091
7: Bush: month = Month.JULY, name = BMGYdT, GetQuotient = 0.0
8: Tree: age = 83442, name = CrfQJQOOgzic, GetQuotient = 0.08333333333333333
9: Tree: age = 13474, name = zxbnh, GetQuotient = 0.0
10: Tree: age = 26024, name = aOiOC, GetQuotient = 0.4
11: Flower: name = rfUvaJKAkg, Type = Type.WILD, GetQuotient = 0.1
12: Tree: age = 73884, name = fprNra, GetQuotient = 0.16666666666666666
13: Flower: name = Sc, Type = Type.HOUSE, GetQuotient = 0.0
14: Tree: age = 11494, name = NobngCbsjOXSBKEO, GetQuotient = 0.0625
15: Flower: name = idIM, Type = Type.GARDEN, GetQuotient = 0.25
16: Bush: month = Month.JULY, name = SRgcJfvIHgw, GetQuotient = 0.0
17: Flower: name = cPASuIhTh, Type = Type.HOUSE, GetQuotient = 0.1111111111111111
18: Tree: age = 8014, name = rGrH, GetQuotient = 0.0
19: Flower: name = g, Type = Type.GARDEN, GetQuotient = 0.0
20: Tree: age = 37635, name = jtHfAVJOLqmiDoRU, GetQuotient = 0.125
21: Flower: name = DKZX, Type = Type.GARDEN, GetQuotient = 0.0
22: Bush: month = Month.JULY, name = TNcCeFegzqEiWjKlqvZ, GetQuotient = 0.15789473684210525
23: Tree: age = 9344, name = FRIVfxfVtco, GetQuotient = 0.09090909090909091
24: Bush: month = Month.JANUARY, name = fcz, GetQuotient = 0.0
25: Bush: month = Month.AUGUST, name = iJdz, GetQuotient = 0.25
26: Tree: age = 24821, name = sTYYZFiEYQShYamVWxa, GetQuotient = 0.15789473684210525
27: Tree: age = 35425, name = UnyMaJ, GetQuotient = 0.16666666666666666
28: Bush: month = Month.JULY, name = tAERr, GetQuotient = 0.0
29: Flower: name = rguYktr, Type = Type.WILD, GetQuotient = 0.14285714285714285
30: Flower: name = XaPjMTacfTwz, Type = Type.GARDEN, GetQuotient = 0.16666666666666666
31: Bush: month = Month.DECEMBER, name = EacOqOZC, GetQuotient = 0.125
32: Tree: age = 3897, name = pbWXTyzHdQPZang, GetQuotient = 0.06666666666666667
33: Bush: month = Month.FEBRUARY, name = aZikYpiIeGOqOvXlrfN, GetQuotient = 0.21052631578947367
34: Tree: age = 7924, name = DNkfvfAiHFrBTCN, GetQuotient = 0.06666666666666667
35: Flower: name = ajHNAliWLIdfrmh, Type = Type.HOUSE, GetQuotient = 0.13333333333333333
36: Bush: month = Month.JULY, name = E, GetQuotient = 0.0
37: Tree: age = 57858, name = wMRCg, GetQuotient = 0.0
38: Tree: age = 67657, name = tRCIGjdhoJXrXZh, GetQuotient = 0.06666666666666667
39: Bush: month = Month.JULY, name = iUiUjivJsTFTWls, GetQuotient = 0.2
40: Bush: month = Month.OCTOBER, name = xEFXzyc, GetQuotient = 0.0
41: Tree: age = 6382, name = zTIstb, GetQuotient = 0.0
42: Flower: name = PObCiwAJKuDWgBi, Type = Type.HOUSE, GetQuotient = 0.2
43: Bush: month = Month.JANUARY, name = mVaBZMQKLje, GetQuotient = 0.18181818181818182
44: Bush: month = Month.FEBRUARY, name = ZqA, GetQuotient = 0.0
45: Flower: name = VwDePrAfuidotI, Type = Type.GARDEN, GetQuotient = 0.2857142857142857
46: Flower: name = SovsskMAZKHreol, Type = Type.GARDEN, GetQuotient = 0.2
47: Flower: name = UDDR, Type = Type.GARDEN, GetQuotient = 0.0
48: Flower: name = mRHyNHRdAku, Type = Type.HOUSE, GetQuotient = 0.09090909090909091
49: Tree: age = 81803, name = d, GetQuotient = 0.0
50: Bush: month = Month.JANUARY, name = XULAbcpGpV, GetQuotient = 0.0
51: Bush: month = Month.DECEMBER, name = iJFAkWIX, GetQuotient = 0.125
52: Tree: age = 43978, name = vjlkwIe, GetQuotient = 0.14285714285714285
53: Flower: name = ayLLgVuLgmhb, Type = Type.WILD, GetQuotient = 0.16666666666666666
54: Flower: name = fmgptDkTnWZ, Type = Type.WILD, GetQuotient = 0.0
55: Bush: month = Month.OCTOBER, name = yfsFGpHpxqvB, GetQuotient = 0.0
56: Tree: age = 29347, name = HIeIjUCSD, GetQuotient = 0.1111111111111111
