Sorted container:
Container is store 10000 plants:
0: Tree: age = 75372, name = a, GetQuotient = 1.0
1: Flower: name = ee, Type = Type.WILD, GetQuotient = 1.0
2: Tree: age = 27683, name = i, GetQuotient = 1.0
3: Bush: month = Month.AUGUST, name = e, GetQuotient = 1.0
4: Flower: name = o, Type = Type.WILD, GetQuotient = 1.0
5: Bush: month = Month.JUNE, name = e, GetQuotient = 1.0
6: Flower: name = a, Type = Type.HOUSE, GetQuotient = 1.0
7: Flower: name = o, Type = Type.WILD, GetQuotient = 1.0
8: Flower: name = e, Type = Type.WILD, GetQuotient = 1.0
9: Bush: month = Month.NOVEMBER, name = ao, GetQuotient = 1.0
10: Tree: age = 95303, name = o, GetQuotient = 1.0
11: Tree: age = 4010, name = e, GetQuotient = 1.0
12: Bush: month = Month.NOVEMBER, name = u, GetQuotient = 1.0
13: Bush: month = Month.NOVEMBER, name = o, GetQuotient = 1.0
14: Bush: month = Month.FEBRUARY, name = a, GetQuotient = 1.0
15: Tree: age = 65981, name = u, GetQuotient = 1.0
16: Bush: month = Month.MAY, name = i, GetQuotient = 1.0
17: Flower: name = i, Type = Type.GARDEN, GetQuotient = 1.0
18: Flower: name = ao, Type = Type.HOUSE, GetQuotient = 1.0
19: Flower: name = oi, Type = Type.WILD, GetQuotient = 1.0
20: Tree: age = 5033, name = ea, GetQuotient = 1.0
21: Bush: month = Month.DECEMBER, name = i, GetQuotient = 1.0
22: Tree: age = 86115, name = e, GetQuotient = 1.0
23: Tree: age = 84502, name = i, GetQuotient = 1.0
24: Bush: month = Month.MAY, name = e, GetQuotient = 1.0
25: Tree: age = 54018, name = i, GetQuotient = 1.0
26: Tree: age = 4684, name = u, GetQuotient = 1.0
27: Tree: age = 20132, name = ai, GetQuotient = 1.0
28: Flower: name = u, Type = Type.GARDEN, GetQuotient = 1.0
29: Tree: age = 57631, name = e, GetQuotient = 1.0
30: Flower: name = e, Type = Type.WILD, GetQuotient = 1.0
31: Bush: month = Month.FEBRUARY, name = i, GetQuotient = 1.0
32: Flower: name = a, Type = Type.GARDEN, GetQuotient = 1.0
33: Flower: name = i, Type = Type.WILD, GetQuotient = 1.0
34: Bush: month = Month.FEBRUARY, name = oa, GetQuotient = 1.0
35: Flower: name = u, Type = Type.HOUSE, GetQuotient = 1.0
36: Bush: month = Month.SEPTEMBER, name = o, GetQuotient = 1.0
37: Flower: name = u, Type = Type.HOUSE, GetQuotient = 1.0
38: Tree: age = 97003, name = i, GetQuotient = 1.0
39: Flower: name = e, Type = Type.GARDEN, GetQuotient = 1.0
40: Bush: month = Month.JANUARY, name = i, GetQuotient = 1.0
41: Tree: age = 55761, name = e, GetQuotient = 1.0
42: Tree: age = 12841, name = ua, GetQuotient = 1.0
43: Flower: name = e, Type = Type.WILD, GetQuotient = 1.0
44: Bush: month = Month.JULY, name = o, GetQuotient = 1.0
45: Tree: age = 4732, name = a, GetQuotient = 1.0
46: Flower: name = i, Type = Type.GARDEN, GetQuotient = 1.0
47: Bush: month = Month.FEBRUARY, name = o, GetQuotient = 1.0
48: Bush: month = Month.SEPTEMBER, name = a, GetQuotient = 1.0
49: Flower: name = e, Type = Type.GARDEN, GetQuotient = 1.0
50: Bush: month = Month.SEPTEMBER, name = eIeio, GetQuotient = 0.8
51: Flower: name = iuuC, Type = Type.HOUSE, GetQuotient = 0.75
52: Tree: age = 41537, name = luia, GetQuotient = 0.75
53: Bush: month = Month.APRIL, name = Keqaao, GetQuotient = 0.6666666666666666
54: Bush: month = Month.MAY, name = aeg, GetQuotient = 0.6666666666666666
55: Flower: name = Boo, Type = Type.HOUSE, GetQuotient = 0.6666666666666666
56: Tree: age = 68023, name = aFa, GetQuotient = 0.6666666666666666
57: Flower: name = oir, Type = Type.HOUSE, GetQuotient = 0.6666666666666666
58: Bush: month = Month.NOVEMBER, name = moi, GetQuotient = 0.6666666666666666
59: Flower: name = oeS, Type = Type.HOUSE, GetQuotient = 0.6666666666666666
60: Bush: month = Month.NOVEMBER, name = yio, GetQuotient = 0.6666666666666666
61: Bush: month = Month.NOVEMBER, name = eun, GetQuotient = 0.6666666666666666
62: Tree: age = 63437, name = Yuo, GetQuotient = 0.6666666666666666
63: Bush: month = Month.JULY, name = AuieCo, GetQuotient = 0.6666666666666666
64: Bush: month = Month.MAY, name = aeL, GetQuotient = 0.6666666666666666
65: Tree: age = 43013, name = oeR, GetQuotient = 0.6666666666666666
66: Tree: age = 43582, name = oub, GetQuotient = 0.6666666666666666
67: Bush: month = Month.MAY, name = pea, GetQuotient = 0.6666666666666666
68: Bush: month = Month.FEBRUARY, name = aiy, GetQuotient = 0.6666666666666666
69: Bush: month = Month.JULY, name = uak, GetQuotient = 0.6666666666666666
70: Flower: name = oSaid, Type = Type.HOUSE, GetQuotient = 0.6
71: Bush: month = Month.MAY, name = eoeHl, GetQuotient = 0.6
72: Flower: name = ZiuAi, Type = Type.HOUSE, GetQuotient = 0.6
73: Tree: age = 8432, name = iWluoEo, GetQuotient = 0.5714285714285714
74: Flower: name = oaejBek, Type = Type.GARDEN, GetQuotient = 0.5714285714285714
75: Flower: name = eiMdaioUT, Type = Type.HOUSE, GetQuotient = 0.5555555555555556
76: Bush: month = Month.FEBRUARY, name = YuLPdaauo, GetQuotient = 0.5555555555555556
77: Flower: name = uD, Type = Type.HOUSE, GetQuotient = 0.5
78: Bush: month = Month.DECEMBER, name = va, GetQuotient = 0.5
79: Tree: age = 11051, name = Da, GetQuotient = 0.5
80: Bush: month = Month.SEPTEMBER, name = un, GetQuotient = 0.5
81: Tree: age = 35973, name = Me, GetQuotient = 0.5
82: Bush: month = Month.JANUARY, name = eB, GetQuotient = 0.5
83: Bush: month = Month.DECEMBER, name = oI, GetQuotient = 0.5
84: Bush: month = Month.JULY, name = umey, GetQuotient = 0.5
85: Tree: age = 76352, name = iaLP, GetQuotient = 0.5
86: Tree: age = 95847, name = zuso, GetQuotient = 0.5
87: Flower: name = gi, Type = Type.WILD, GetQuotient = 0.5
88: Tree: age = 67833, name = uL, GetQuotient = 0.5
89: Bush: month = Month.DECEMBER, name = ep, GetQuotient = 0.5
90: Bush: month = Month.JANUARY, name = auAh, GetQuotient = 0.5
91: Tree: age = 58976, name = uIMu, GetQuotient = 0.5
92: Tree: age = 93910, name = uc, GetQuotient = 0.5
93: Tree: age = 36949, name = Xa, GetQuotient = 0.5
94: Tree: age = 51397, name = aZ, GetQuotient = 0.5
95: Bush: month = Month.JUNE, name = Oo, GetQuotient = 0.5
96: Tree: age = 87548, name = aS, GetQuotient = 0.5
97: Tree: age = 47051, name = vu, GetQuotient = 0.5
98: Tree: age = 14370, name = cCeo, GetQuotient = 0.5
99: Flower: name = aS, Type = Type.GARDEN, GetQuotient = 0.5
100: Bush: month = Month.OCTOBER, name = UQai, GetQuotient = 0.5
101: Tree: age = 17634, name = oO, GetQuotient = 0.5
102: Bush: month = Month.OCTOBER, name = Icea, GetQuotient = 0.5
103: Flower: name = tepaGe, Type = Type.GARDEN, GetQuotient = 0.5
104: Flower: name = so, Type = Type.HOUSE, GetQuotient = 0.5
105: Tree: age = 82674, name = Do, GetQuotient = 0.5
106: Bush: month = Month.JANUARY, name = oR, GetQuotient = 0.5
107: Tree: age = 79505, name = Ho, GetQuotient = 0.5
108: Flower: name = phei, Type = Type.WILD, GetQuotient = 0.5
109: Bush: month = Month.NOVEMBER, name = uW, GetQuotient = 0.5
110: Flower: name = ulXa, Type = Type.HOUSE, GetQuotient = 0.5
111: Bush: month = Month.FEBRUARY, name = uXob, GetQuotient = 0.5
112: Flower: name = iVoC, Type = Type.WILD, GetQuotient = 0.5
113: Flower: name = aL, Type = Type.HOUSE, GetQuotient = 0.5
114: Flower: name = Oa, Type = Type.WILD, GetQuotient = 0.5
115: Bush: month = Month.MARCH, name = ef, GetQuotient = 0.5
116: Flower: name = Ce, Type = Type.WILD, GetQuotient = 0.5
117: Bush: month = Month.MARCH, name = iI, GetQuotient = 0.5
118: Bush: month = Month.MAY, name = oc, GetQuotient = 0.5
119: Tree: age = 19659, name = ol, GetQuotient = 0.5
120: Bush: month = Month.AUGUST, name = oK, GetQuotient = 0.5
121: Bush: month = Month.JUNE, name = xo, GetQuotient = 0.5
122: Tree: age = 91882, name = aypa, GetQuotient = 0.5
123: Tree: age = 8416, name = id, GetQuotient = 0.5
124: Tree: age = 95711, name = aakm, GetQuotient = 0.5
125: Tree: age = 93285, name = Re, GetQuotient = 0.5
126: Bush: month = Month.SEPTEMBER, name = Raad, GetQuotient = 0.5
127: Flower: name = Ua, Type = Type.HOUSE, GetQuotient = 0.5
128: Bush: month = Month.NOVEMBER, name = or, GetQuotient = 0.5
129: Flower: name = aLQeTu, Type = Type.HOUSE, GetQuotient = 0.5
130: Bush: month = Month.OCTOBER, name = Do, GetQuotient = 0.5
131: Flower: name = ba, Type = Type.GARDEN, GetQuotient = 0.5
132: Flower: name = ut, Type = Type.WILD, GetQuotient = 0.5
133: Bush: month = Month.OCTOBER, name = eR, GetQuotient = 0.5
134: Flower: name = Mase, Type = Type.HOUSE, GetQuotient = 0.5
